CVRP Instance #,# of Qubits,# of Gate Operations,Execution Time
1,0,0,0.0070
3,0,0,5.2514
3,0,0,5.3339
3,0,0,5.0069
3,0,0,4.9664
3,0,0,340.8507
3,0,0,356.0132
3,0,0,1177.0321
3,0,0,12.1931
3,0,0,9.2996
3,0,0,12.2440
3,0,0,14.2518
3,0,0,13.0121
3,0,0,14.3312
3,0,0,11.7987
4,0,0,42.0443
4,0,0,53.9654
4,0,0,41.8522
4,0,0,51.3923
3,0,0,34.2071,48.4574
3,0,0,34.3803,48.4574
4,0,0,42.0760,54.2615
4,0,0,42.3231,56.9011
3,0,0,34.2231,48.4574
2,0,0,6.4696,21.6626
2,0,0,7.1335,26.1817
1,0,0,11.5069,23.8708
3,0,0,32.9245,50.6965
3,0,0,12.7788,50.6965
